Date,Close,Open,High,Low,Volume
2018-06-11,6710.7,6777.12,6913.59,6646.19,4434.7426297769
2018-06-10,7236.63,7273.0,7321.68,6630.5,6358.0993228139005
2018-06-09,7612.0,7664.5,7674.03,7268.44,1477.9694629731
2018-06-08,7630.25,7642.0,7684.22,7539.97,1280.1880267396
2018-06-07,7685.0,7730.06,7730.06,7634.27,1282.0849401952
2018-06-06,7655.0,7618.69,7745.0,7480.79,1864.1431173138
2018-06-05,7568.36,7420.33,7677.03,7341.73,1668.3157497085
2018-06-04,7499.0,7705.23,7705.23,7392.0,2136.0188547963003
2018-06-03,7725.5,7647.08,7790.91,7630.79,1350.2450648097001
2018-06-02,7619.1,7497.34,7698.92,7455.5,1716.6153672643
2018-06-01,7440.25,7498.45,7616.63,7356.08,2549.557849052
2018-05-31,7550.16,7372.14,7616.63,7367.44,2574.024649218
2018-05-30,7333.0,7494.19,7546.29,7268.76,2473.1419454597
2018-05-29,7432.0,7117.01,7567.72,7059.84,3919.5133712184
2018-05-28,7224.96,7387.0,7390.41,7055.94,2249.0886798357
2018-05-27,7339.71,7299.5,7445.89,7230.78,1018.3815111498
2018-05-26,7539.52,7449.1,7647.46,7208.1,1870.4269967559
2018-05-25,7494.31,7601.19,7655.52,7322.29,4285.064612646
2018-05-24,7565.71,7619.0,7746.18,7268.99,4961.8249322111
2018-05-23,7710.55,7955.56,7955.56,7438.43,6301.1912409187
2018-05-22,8224.27,8329.95,8355.01,7870.0,3449.9530636457002
2018-05-21,8413.26,8491.0,8588.0,8260.09,2315.3834011889003
2018-05-20,8375.0,8250.03,8600.0,8232.34,1142.3548571136
2018-05-19,8311.28,8247.85,8392.0,8152.49,1428.5786258579
2018-05-18,8118.5,8003.75,8279.0,7955.0,2879.3291083215004
2018-05-17,8303.31,8362.55,8387.12,7919.2,4401.3518215398
2018-05-16,8271.96,8165.85,8487.15,8127.0,6577.136502737299
2018-05-15,8532.46,8720.41,8846.13,8110.0,6232.139552029301
2018-05-14,8781.0,8403.82,8899.62,8283.55,4936.1823841324
2018-05-13,8625.49,8444.63,8755.0,8340.1,1862.3492197904002
2018-05-12,8369.0,8418.44,8647.84,8221.0,2991.7302629168
2018-05-11,8580.5,8936.18,9022.05,8350.18,4027.9549933439002
2018-05-10,9332.2,9329.6,9387.98,8870.9,3620.1513432681
2018-05-09,9276.05,9045.68,9360.01,8953.26,3549.0816139605
2018-05-08,9159.32,9430.2,9430.2,9001.25,2975.9346326162
2018-05-07,9347.77,9325.0,9450.0,9175.0,2872.1228858864
2018-05-06,9459.87,9827.57,9849.2,9230.0,2176.591684654
2018-05-05,9874.68,9813.56,9940.0,9668.67,1566.5943013712
2018-05-04,9590.08,9590.94,9850.0,9552.0,3350.0281907702
2018-05-03,9400.51,9254.85,9786.01,9163.25,5227.268393087
2018-05-02,9134.99,9031.57,9273.23,9025.25,2877.3684124971
2018-05-01,8907.9,8953.48,9099.99,8816.08,2555.6237718745997
2018-04-30,9289.99,9266.31,9345.99,8854.91,3553.498559186
2018-04-29,9322.91,9447.92,9480.0,9176.76,1479.1932122673002
2018-04-28,9368.25,9150.01,9522.12,9065.14,3038.2675191154
2018-04-27,9229.99,9149.99,9368.0,8880.01,3207.2854665975
2018-04-26,8784.91,8815.0,9315.24,8666.49,3388.2049826907
2018-04-25,8965.23,9393.57,9519.85,8660.0,6999.2712380124
2018-04-24,9361.22,9199.95,9762.75,9199.95,6119.9998041572
2018-04-23,8900.8,8871.0,9214.0,8805.95,3104.7479493355
2018-04-22,8932.4,8821.39,9017.0,8755.0,1360.6847710348
2018-04-21,8816.26,8868.98,9038.0,8602.08,3352.2523656501003
2018-04-20,8467.96,8337.84,8932.16,8215.0,4448.6349905221
2018-04-19,8225.0,8192.27,8398.9,8096.0,3320.9915104372
2018-04-18,8000.01,7935.0,8265.0,7880.0,3532.9203437441997
2018-04-17,8080.89,8026.21,8165.07,7820.01,2853.9765159242997
2018-04-16,7971.35,8160.27,8160.76,7900.0,3565.6001345105
2018-04-15,8276.74,8087.52,8415.0,8053.76,3610.1584667825
2018-04-14,7962.72,8043.79,8175.86,7873.5,1976.8764318182
2018-04-13,8119.16,7812.7,8223.58,7749.28,7322.9598185978
2018-04-12,7624.99,6943.83,8076.83,6766.18,11326.7947638849
2018-04-11,6923.75,6820.83,6966.84,6801.68,3419.9916126501003
2018-04-10,6835.49,6793.44,6876.33,6651.12,2587.3087093548997
2018-04-09,6716.58,7128.1,7176.99,6612.35,4443.5365310309
2018-04-08,7038.77,6968.14,7166.82,6900.0,2988.2282706723
2018-04-07,6996.5,6592.94,7069.18,6592.94,2554.2931129917
2018-04-06,6600.0,6769.44,6848.0,6512.79,5119.833489699
2018-04-05,6742.88,6775.71,6923.01,6626.26,6291.4869982252
2018-04-04,6805.0,7296.06,7387.95,6574.3,7207.2105826725
2018-04-03,7382.35,7187.64,7500.0,7187.64,7513.8377994264
2018-04-02,7045.18,6988.89,7189.27,6851.5,5041.3998194496
2018-04-01,6447.11,6922.75,7033.53,6442.49,7126.7027364495
2018-03-31,7050.8,6969.5,7242.47,6788.51,4120.7631687134
2018-03-30,6782.87,6863.66,7271.9,6600.0,8427.8452904702
2018-03-29,7477.27,7871.8,7872.84,6672.72,14780.510009698999
2018-03-28,7863.0,7871.0,8095.0,7813.38,5081.2793956081
2018-03-27,8065.94,7860.36,8141.72,7749.53,6316.3953389342005
2018-03-26,8088.89,8431.94,8489.99,7818.1,7735.9176207653
2018-03-25,8480.35,8557.8,8687.3,8340.65,3611.5807860363
2018-03-24,8940.0,8910.0,9000.0,8450.0,3556.118093218
2018-03-23,8643.89,8415.89,8990.0,8288.01,4856.6692266558
2018-03-22,8606.9,9033.87,9065.71,8337.74,7160.9492335148
2018-03-21,9040.0,9038.4,9180.0,8755.0,6105.6690499137
2018-03-20,8525.77,8603.0,9060.0,8327.35,7370.1114425475
2018-03-19,8576.16,8174.2,8744.68,8120.0,8074.7440239289
2018-03-18,7360.49,7676.9,8439.99,7319.0,10289.2131733486
2018-03-17,7902.96,8220.82,8350.0,7551.0,4815.1032048637
2018-03-16,8540.75,8042.9,8607.11,8037.5,5750.8191161756
2018-03-15,8127.96,7889.99,8416.92,7675.35,9378.6517544868
2018-03-14,8741.5,9259.03,9259.03,7749.0,11379.024302194499
2018-03-13,9047.79,9061.57,9500.0,8850.0,5461.6297621119
2018-03-12,9172.87,9439.6,9898.0,8760.0,8050.194926156701
2018-03-11,9116.96,8648.35,9772.42,8578.1,4806.4800046019
2018-03-10,9385.0,9249.99,9515.21,8544.95,3603.8802276941997
2018-03-09,8970.0,8986.47,9430.0,8370.0,10690.0767800029
2018-03-08,9924.64,9562.28,10100.0,8872.91,8997.6938692121
2018-03-07,10656.99,10735.22,10815.41,9375.0,11595.3126383251
